   45																																													
Setophaga_graciae_UWBM_114019_DUR    	0.26250	0.25729	0.19535	0.26283	0.26154	0.23969	0.24325	0.19968	0.19681	0.19474	0.19693	0.19622	0.19744	0.20705	0.21268	0.20778	0.23532	0.23628	0.19542	0.19128	0.19217	0.00000	0.18732	0.19319	0.19368	0.19649	0.19429	0.19711	0.19751	0.19554	0.19280	0.19365	0.20055	0.19643	0.20874	0.25960	0.19356	0.19731	0.19454	0.24184	0.24364	0.24682	0.24297	0.24147	0.19816
Setophaga_graciae_UWBM_114038_DUR    	0.26194	0.25826	0.19598	0.26231	0.26117	0.23863	0.24206	0.19784	0.19703	0.19395	0.19732	0.19598	0.19627	0.20923	0.21111	0.20727	0.23215	0.23619	0.19495	0.19051	0.19141	0.18732	0.00000	0.19481	0.19464	0.19619	0.19337	0.19408	0.19735	0.19283	0.19372	0.19078	0.19710	0.19888	0.20652	0.26020	0.19486	0.19742	0.19460	0.24143	0.24255	0.24318	0.24310	0.24008	0.19944
Setophaga_graciae_UWBM_114046_DUR    	0.26343	0.25989	0.19510	0.26332	0.26108	0.24144	0.24137	0.19781	0.19852	0.19673	0.19764	0.19691	0.19754	0.20711	0.21280	0.20813	0.23379	0.23833	0.19294	0.19848	0.19447	0.19319	0.19481	0.00000	0.19668	0.19808	0.19477	0.19738	0.19824	0.19596	0.19140	0.19420	0.19921	0.19619	0.20883	0.25807	0.19490	0.19933	0.19884	0.24374	0.24277	0.24598	0.24484	0.24226	0.19850
Setophaga_graciae_UWBM_114047_DUR    	0.26281	0.25919	0.19630	0.26379	0.26285	0.24177	0.24103	0.19931	0.19961	0.19628	0.19756	0.19804	0.19716	0.20723	0.21245	0.20698	0.23547	0.23816	0.19219	0.19558	0.19531	0.19368	0.19464	0.19668	0.00000	0.19720	0.19526	0.19570	0.19821	0.19355	0.19235	0.19293	0.19898	0.19730	0.20864	0.25889	0.19479	0.19957	0.19619	0.24320	0.24158	0.24402	0.24571	0.24291	0.19969
Setophaga_graciae_UWBM_114087_CHIH    	0.26623	0.25949	0.19702	0.26250	0.25970	0.24089	0.24264	0.19912	0.19804	0.19598	0.19731	0.19698	0.19828	0.21088	0.21448	0.20865	0.23283	0.23790	0.19397	0.19951	0.19322	0.19649	0.19619	0.19808	0.19720	0.00000	0.19234	0.19673	0.19658	0.19452	0.19448	0.19436	0.19966	0.19650	0.20877	0.25838	0.19589	0.19728	0.19409	0.24292	0.24726	0.24619	0.24510	0.24154	0.19690
Setophaga_graciae_UWBM_114088_CHIH    	0.26555	0.25647	0.19560	0.26404	0.25955	0.24090	0.24186	0.19725	0.19426	0.19608	0.19669	0.19745	0.19528	0.20774	0.21326	0.20685	0.23456	0.23770	0.19229	0.19740	0.19220	0.19429	0.19337	0.19477	0.19526	0.19234	0.00000	0.19408	0.19519	0.19155	0.19190	0.19081	0.19746	0.19654	0.20778	0.25924	0.19540	0.19729	0.19412	0.24207	0.24315	0.24380	0.24426	0.24065	0.19776
Setophaga_graciae_UWBM_114090_CHIH    	0.26761	0.26104	0.19809	0.26648	0.26239	0.24356	0.24450	0.19955	0.19812	0.19830	0.20032	0.20008	0.20020	0.21018	0.21348	0.20901	0.23593	0.24170	0.19606	0.19877	0.19663	0.19711	0.19408	0.19738	0.19570	0.19673	0.19408	0.00000	0.19844	0.19464	0.19440	0.19177	0.20208	0.20069	0.20960	0.26171	0.19788	0.20010	0.19610	0.24403	0.24637	0.24824	0.24681	0.24390	0.20106
Setophaga_graciae_UWBM_114091_CHIH    	0.26807	0.26166	0.19766	0.26687	0.26478	0.24389	0.24840	0.20163	0.20069	0.19993	0.19861	0.19784	0.19968	0.21239	0.21425	0.21040	0.23807	0.24052	0.19654	0.19925	0.19687	0.19751	0.19735	0.19824	0.19821	0.19658	0.19519	0.19844	0.00000	0.19405	0.19643	0.19499	0.20221	0.19840	0.21043	0.26290	0.19644	0.19863	0.19957	0.24867	0.24702	0.24599	0.24901	0.24672	0.20051
Setophaga_graciae_UWBM_114126_CHIH    	0.26202	0.25993	0.19335	0.26543	0.26310	0.24203	0.24387	0.19558	0.19731	0.19494	0.19497	0.19575	0.19497	0.20906	0.21521	0.20916	0.23365	0.23969	0.19205	0.19669	0.19459	0.19554	0.19283	0.19596	0.19355	0.19452	0.19155	0.19464	0.19405	0.00000	0.19193	0.19246	0.19649	0.19710	0.20730	0.25903	0.19476	0.19569	0.19352	0.24278	0.24361	0.24513	0.24372	0.24283	0.19753
Setophaga_graciae_UWBM_114127_CHIH    	0.26487	0.25931	0.19459	0.26497	0.26196	0.24206	0.24457	0.19665	0.19510	0.19719	0.19427	0.19474	0.19356	0.20930	0.21302	0.20660	0.23352	0.23695	0.19594	0.19675	0.19249	0.19280	0.19372	0.19140	0.19235	0.19448	0.19190	0.19440	0.19643	0.19193	0.00000	0.19054	0.19688	0.19510	0.20832	0.26215	0.19437	0.19684	0.19240	0.24670	0.24440	0.24816	0.24491	0.24425	0.19578
