"INDV1"	"INDV2"	"RELATEDNESS_PHI"
"932"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_UWBM_114046_DUR"	-0.00566672
"1608"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_111896_NM"	-0.00566672
"59"	"Setophaga_graciae_CM_S9116_BEL"	"Setophaga_graciae_KU_8199_SANA"	-0.00573249
"267"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_CM_S9116_BEL"	-0.00573249
"221"	"Setophaga_graciae_KU_33634_RACN"	"Setophaga_graciae_MSB_12905565_NM"	-0.00580443
"429"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_KU_33634_RACN"	-0.00580443
"105"	"Setophaga_graciae_CM_S9116_BEL"	"Setophaga_graciae_UWBM_93808_CPN"	-0.00588575
"2705"	"Setophaga_graciae_UWBM_93808_CPN"	"Setophaga_graciae_CM_S9116_BEL"	-0.00588575
"635"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_93808_CPN"	-0.00607358
"2715"	"Setophaga_graciae_UWBM_93808_CPN"	"Setophaga_graciae_MSB_12905568_NM"	-0.00607358
"500"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_113059_CHI"	-0.00611085
"1176"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_MSB_12905566_NM"	-0.00611085
"632"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_93805_CPN"	-0.00626307
"2556"	"Setophaga_graciae_UWBM_93805_CPN"	"Setophaga_graciae_MSB_12905568_NM"	-0.00626307
"330"	"Setophaga_graciae_KU_8218_SANA"	"Setophaga_graciae_MSB_12905568_NM"	-0.00633337
"590"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_KU_8218_SANA"	-0.00633337
"102"	"Setophaga_graciae_CM_S9116_BEL"	"Setophaga_graciae_UWBM_93805_CPN"	-0.00647142
"2546"	"Setophaga_graciae_UWBM_93805_CPN"	"Setophaga_graciae_CM_S9116_BEL"	-0.00647142
"779"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_UWBM_114091_CHIH"	-0.00658549
"1923"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_UWBM_106760_NM"	-0.00658549
"634"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_93807_CPN"	-0.00660048
"2662"	"Setophaga_graciae_UWBM_93807_CPN"	"Setophaga_graciae_MSB_12905568_NM"	-0.00660048
"101"	"Setophaga_graciae_CM_S9116_BEL"	"Setophaga_graciae_UWBM_93801_CPN"	-0.00661578
"2493"	"Setophaga_graciae_UWBM_93801_CPN"	"Setophaga_graciae_CM_S9116_BEL"	-0.00661578
"1355"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114039_DUR"	-0.00666702
"1563"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_114011_DUR"	-0.00666702
"673"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_114091_CHIH"	-0.00673842
"1921"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_UWBM_105736_ARI"	-0.00673842
"1364"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114127_CHIH"	-0.00688492
"2040"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114011_DUR"	-0.00688492
"1363"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114126_CHIH"	-0.00698225
"1987"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114011_DUR"	-0.00698225
"631"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_93801_CPN"	-0.0072748
"2503"	"Setophaga_graciae_UWBM_93801_CPN"	"Setophaga_graciae_MSB_12905568_NM"	-0.0072748
"143"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_UWBM_114091_CHIH"	-0.00728639
"1911"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_DMNS_52524_COL"	-0.00728639
"633"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_93806_CPN"	-0.00791777
"2609"	"Setophaga_graciae_UWBM_93806_CPN"	"Setophaga_graciae_MSB_12905568_NM"	-0.00791777
"103"	"Setophaga_graciae_CM_S9116_BEL"	"Setophaga_graciae_UWBM_93806_CPN"	-0.00810249
"2599"	"Setophaga_graciae_UWBM_93806_CPN"	"Setophaga_graciae_CM_S9116_BEL"	-0.00810249
"12"	"Setophaga_graciae_CM_S10255_BEL"	"Setophaga_graciae_MSB_12905568_NM"	-0.00815086
"584"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_CM_S10255_BEL"	-0.00815086
"1950"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_UWBM_114424_NEV"	-0.00827006
"2210"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_UWBM_114091_CHIH"	-0.00827006
"832"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_UWBM_114091_CHIH"	-0.00844682
"1924"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_UWBM_108714_NEV"	-0.00844682
"1361"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114090_CHIH"	-0.00858535
"1881"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114011_DUR"	-0.00858535
"730"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_UWBM_114282_NEV"	-0.00863781
"2134"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_106758_NM"	-0.00863781
"1358"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114087_CHIH"	-0.00950774
"1722"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114011_DUR"	-0.00950774
"677"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_114282_NEV"	-0.00975272
"2133"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_105736_ARI"	-0.00975272
"147"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_UWBM_114282_NEV"	-0.00980977
"2123"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_DMNS_52524_COL"	-0.00980977
"783"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_UWBM_114282_NEV"	-0.00987945
"2135"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_106760_NM"	-0.00987945
"874"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114011_DUR"	-0.00993241
"1342"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_111891_NM"	-0.00993241
"288"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_UWBM_113059_CHI"	-0.00995109
"1172"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_KU_8199_SANA"	-0.00995109
"394"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_113059_CHI"	-0.0101562
"1174"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_MSB_12905564_NM"	-0.0101562
"341"	"Setophaga_graciae_KU_8218_SANA"	"Setophaga_graciae_UWBM_113059_CHI"	-0.0106249
"1173"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_KU_8218_SANA"	-0.0106249
"1961"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_UWBM_95850_ARI"	-0.0108531
"2793"	"Setophaga_graciae_UWBM_95850_ARI"	"Setophaga_graciae_UWBM_114091_CHIH"	-0.0108531
"1217"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_UWBM_93807_CPN"	-0.011453
"2673"	"Setophaga_graciae_UWBM_93807_CPN"	"Setophaga_graciae_UWBM_113059_CHI"	-0.011453
"1372"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_84639_ARI"	-0.0117118
"2464"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_UWBM_114011_DUR"	-0.0117118
"1370"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_77653_ARI"	-0.011821
"2358"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114011_DUR"	-0.011821
"501"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_113126_CHI"	-0.0125043
"1229"	"Setophaga_graciae_UWBM_113126_CHI"	"Setophaga_graciae_MSB_12905566_NM"	-0.0125043
"2108"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0128869
"2160"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114128_CHIH"	-0.0128869
"1214"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_UWBM_93801_CPN"	-0.01322
"2514"	"Setophaga_graciae_UWBM_93801_CPN"	"Setophaga_graciae_UWBM_113059_CHI"	-0.01322
"715"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_UWBM_114011_DUR"	-0.013278
"1339"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_106758_NM"	-0.013278
"2165"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_77653_ARI"	-0.0134043
"2373"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0134043
"1218"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_UWBM_93808_CPN"	-0.0135653
"2726"	"Setophaga_graciae_UWBM_93808_CPN"	"Setophaga_graciae_UWBM_113059_CHI"	-0.0135653
"1367"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114424_NEV"	-0.0138587
"2199"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_UWBM_114011_DUR"	-0.0138587
"1790"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_114282_NEV"	-0.013928
"2154"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114088_CHIH"	-0.013928
"1215"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_UWBM_93805_CPN"	-0.0140632
"2567"	"Setophaga_graciae_UWBM_93805_CPN"	"Setophaga_graciae_UWBM_113059_CHI"	-0.0140632
"662"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_114011_DUR"	-0.0142076
"1338"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_105736_ARI"	-0.0142076
"938"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_UWBM_114091_CHIH"	-0.0144991
"1926"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_UWBM_111896_NM"	-0.0144991
"1419"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0145083
"2147"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114012_DUR"	-0.0145083
"1684"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0149371
"2152"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114047_DUR"	-0.0149371
"1525"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0150174
"2149"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114038_DUR"	-0.0150174
"2055"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0150623
"2159"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114127_CHIH"	-0.0150623
"1578"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0153561
"2150"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114039_DUR"	-0.0153561
"2167"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_84639_ARI"	-0.0155128
"2479"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0155128
"768"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_UWBM_114011_DUR"	-0.0156629
"1340"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_106760_NM"	-0.0156629
"2173"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_95850_ARI"	-0.0159029
"2797"	"Setophaga_graciae_UWBM_95850_ARI"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0159029
"395"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_113126_CHI"	-0.0159421
"1227"	"Setophaga_graciae_UWBM_113126_CHI"	"Setophaga_graciae_MSB_12905564_NM"	-0.0159421
"2002"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0162416
"2158"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114126_CHIH"	-0.0162416
"1362"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114091_CHIH"	-0.0165511
"1934"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_UWBM_114011_DUR"	-0.0165511
"1472"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0168841
"2148"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114019_DUR"	-0.0168841
"132"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_UWBM_114011_DUR"	-0.0169535
"1328"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_DMNS_52524_COL"	-0.0169535
"821"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_UWBM_114011_DUR"	-0.0169731
"1341"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_108714_NEV"	-0.0169731
"1313"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0172452
"2145"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_113970_DUR"	-0.0172452
"1896"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0172907
"2156"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114090_CHIH"	-0.0172907
"1737"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0173899
"2153"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114087_CHIH"	-0.0173899
"942"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0177761
"2138"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_111896_NM"	-0.0177761
"275"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_MSB_12905566_NM"	-0.0178115
"483"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_KU_8199_SANA"	-0.0178115
"1631"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114282_NEV"	-0.0178385
"2151"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114046_DUR"	-0.0178385
"328"	"Setophaga_graciae_KU_8218_SANA"	"Setophaga_graciae_MSB_12905566_NM"	-0.0180453
"484"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_KU_8218_SANA"	-0.0180453
"528"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_93807_CPN"	-0.0182583
"2660"	"Setophaga_graciae_UWBM_93807_CPN"	"Setophaga_graciae_MSB_12905566_NM"	-0.0182583
"529"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_93808_CPN"	-0.018479
"2713"	"Setophaga_graciae_UWBM_93808_CPN"	"Setophaga_graciae_MSB_12905566_NM"	-0.018479
"1216"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_UWBM_93806_CPN"	-0.018521
"2620"	"Setophaga_graciae_UWBM_93806_CPN"	"Setophaga_graciae_UWBM_113059_CHI"	-0.018521
"1378"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_95850_ARI"	-0.0192506
"2782"	"Setophaga_graciae_UWBM_95850_ARI"	"Setophaga_graciae_UWBM_114011_DUR"	-0.0192506
"2272"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_77735_ARI"	-0.0195163
"2428"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_UWBM_115308_GUE"	-0.0195163
"10"	"Setophaga_graciae_CM_S10255_BEL"	"Setophaga_graciae_MSB_12905566_NM"	-0.0196701
"478"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_CM_S10255_BEL"	-0.0196701
"525"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_93801_CPN"	-0.0197421
"2501"	"Setophaga_graciae_UWBM_93801_CPN"	"Setophaga_graciae_MSB_12905566_NM"	-0.0197421
"1000"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_77735_ARI"	-0.0197702
"2404"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0197702
"1159"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_UWBM_77735_ARI"	-0.0197932
"2407"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_UWBM_112592_GUE"	-0.0197932
"526"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_93805_CPN"	-0.0201322
"2554"	"Setophaga_graciae_UWBM_93805_CPN"	"Setophaga_graciae_MSB_12905566_NM"	-0.0201322
"981"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114012_DUR"	-0.0206523
"1397"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0206523
"273"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_MSB_12905564_NM"	-0.0212091
"377"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_KU_8199_SANA"	-0.0212091
"527"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_93806_CPN"	-0.0212868
"2607"	"Setophaga_graciae_UWBM_93806_CPN"	"Setophaga_graciae_MSB_12905566_NM"	-0.0212868
"1421"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_115308_GUE"	-0.021565
"2253"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_114012_DUR"	-0.021565
"984"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114039_DUR"	-0.0219009
"1556"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0219009
"986"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114047_DUR"	-0.0220218
"1662"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0220218
"326"	"Setophaga_graciae_KU_8218_SANA"	"Setophaga_graciae_MSB_12905564_NM"	-0.0221201
"378"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_KU_8218_SANA"	-0.0221201
"1140"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_UWBM_114012_DUR"	-0.0222925
"1400"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_112592_GUE"	-0.0222925
"422"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_93807_CPN"	-0.0224273
"2658"	"Setophaga_graciae_UWBM_93807_CPN"	"Setophaga_graciae_MSB_12905564_NM"	-0.0224273
"423"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_93808_CPN"	-0.0228916
"2711"	"Setophaga_graciae_UWBM_93808_CPN"	"Setophaga_graciae_MSB_12905564_NM"	-0.0228916
"982"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114019_DUR"	-0.0229316
"1450"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0229316
"1527"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_115308_GUE"	-0.023032
"2255"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_114038_DUR"	-0.023032
"1142"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_UWBM_114038_DUR"	-0.0230962
"1506"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_112592_GUE"	-0.0230962
"8"	"Setophaga_graciae_CM_S10255_BEL"	"Setophaga_graciae_MSB_12905564_NM"	-0.0231882
"372"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_CM_S10255_BEL"	-0.0231882
"983"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114038_DUR"	-0.023202
"1503"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_112575_GUE"	-0.023202
"420"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_93805_CPN"	-0.0233399
"2552"	"Setophaga_graciae_UWBM_93805_CPN"	"Setophaga_graciae_MSB_12905564_NM"	-0.0233399
"1053"	"Setophaga_graciae_UWBM_112576_GUE"	"Setophaga_graciae_UWBM_77735_ARI"	-0.0233598
"2405"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_UWBM_112576_GUE"	-0.0233598
"342"	"Setophaga_graciae_KU_8218_SANA"	"Setophaga_graciae_UWBM_113126_CHI"	-0.0235295
"1226"	"Setophaga_graciae_UWBM_113126_CHI"	"Setophaga_graciae_KU_8218_SANA"	-0.0235295
"419"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_93801_CPN"	-0.0236045
"2499"	"Setophaga_graciae_UWBM_93801_CPN"	"Setophaga_graciae_MSB_12905564_NM"	-0.0236045
"1145"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_UWBM_114047_DUR"	-0.0236407
"1665"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_112592_GUE"	-0.0236407
"988"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114088_CHIH"	-0.0236445
"1768"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0236445
"2110"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_115308_GUE"	-0.0237742
"2266"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_114128_CHIH"	-0.0237742
"289"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_UWBM_113126_CHI"	-0.0238732
"1225"	"Setophaga_graciae_UWBM_113126_CHI"	"Setophaga_graciae_KU_8199_SANA"	-0.0238732
"1792"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_115308_GUE"	-0.0238808
"2260"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_114088_CHIH"	-0.0238808
"927"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_UWBM_114011_DUR"	-0.0239149
"1343"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_111896_NM"	-0.0239149
"1034"	"Setophaga_graciae_UWBM_112576_GUE"	"Setophaga_graciae_UWBM_114012_DUR"	-0.0239772
"1398"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_112576_GUE"	-0.0239772
"994"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114128_CHIH"	-0.0240089
"2086"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0240089
"1686"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_115308_GUE"	-0.0240547
"2258"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_114047_DUR"	-0.0240547
"1153"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_UWBM_114128_CHIH"	-0.0241287
"2089"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_112592_GUE"	-0.0241287
"1270"	"Setophaga_graciae_UWBM_113126_CHI"	"Setophaga_graciae_UWBM_93807_CPN"	-0.0242548
"2674"	"Setophaga_graciae_UWBM_93807_CPN"	"Setophaga_graciae_UWBM_113126_CHI"	-0.0242548
"979"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_113970_DUR"	-0.0246153
"1291"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0246153
"1147"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_UWBM_114088_CHIH"	-0.0246225
"1771"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_112592_GUE"	-0.0246225
"985"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114046_DUR"	-0.0248269
"1609"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0248269
"992"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114126_CHIH"	-0.0248757
"1980"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_112575_GUE"	-0.0248757
"1474"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_115308_GUE"	-0.0251487
"2254"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_114019_DUR"	-0.0251487
"421"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_93806_CPN"	-0.0251991
"2605"	"Setophaga_graciae_UWBM_93806_CPN"	"Setophaga_graciae_MSB_12905564_NM"	-0.0251991
"1271"	"Setophaga_graciae_UWBM_113126_CHI"	"Setophaga_graciae_UWBM_93808_CPN"	-0.0252117
"2727"	"Setophaga_graciae_UWBM_93808_CPN"	"Setophaga_graciae_UWBM_113126_CHI"	-0.0252117
"99"	"Setophaga_graciae_CM_S9116_BEL"	"Setophaga_graciae_UWBM_77735_ARI"	-0.0252713
"2387"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_CM_S9116_BEL"	-0.0252713
"1580"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_115308_GUE"	-0.0252986
"2256"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_114039_DUR"	-0.0252986
