"INDV1"	"INDV2"	"RELATEDNESS_PHI"
"1849"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_84639_ARI"	0.0336187
"2473"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0336187
"1625"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0335633
"1833"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114046_DUR"	0.0335633
"671"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_114089_CHIH"	0.033515
"1815"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_105736_ARI"	0.033515
"141"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_UWBM_114089_CHIH"	0.033065
"1805"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_DMNS_52524_COL"	0.033065
"1844"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114424_NEV"	0.0327948
"2208"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0327948
"1855"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_95850_ARI"	0.0327615
"2791"	"Setophaga_graciae_UWBM_95850_ARI"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0327615
"777"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0327473
"1817"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_106760_NM"	0.0327473
"724"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0326944
"1816"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_106758_NM"	0.0326944
"618"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0325338
"1814"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_MSB_12905568_NM"	0.0325338
"830"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_UWBM_114089_CHIH"	0.03241
"1818"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_108714_NEV"	0.03241
"936"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0317711
"1820"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_111896_NM"	0.0317711
"1360"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0316118
"1828"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114011_DUR"	0.0316118
"1843"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114282_NEV"	0.0314174
"2155"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0314174
"1460"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_114038_DUR"	0.0310436
"1512"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_114019_DUR"	0.0310436
"388"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_111891_NM"	0.0298304
"856"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_MSB_12905564_NM"	0.0298304
"417"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_77735_ARI"	0.0296452
"2393"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_MSB_12905564_NM"	0.0296452
"1845"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_115308_GUE"	0.0289501
"2261"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0289501
"385"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_106758_NM"	0.0287577
"697"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_MSB_12905564_NM"	0.0287577
"523"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_77735_ARI"	0.0284515
"2395"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_MSB_12905566_NM"	0.0284515
"1148"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0283436
"1824"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_112592_GUE"	0.0283436
"1190"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_UWBM_113126_CHI"	0.0281748
"1242"	"Setophaga_graciae_UWBM_113126_CHI"	"Setophaga_graciae_UWBM_113059_CHI"	0.0281748
"989"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0281366
"1821"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_112575_GUE"	0.0281366
"413"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114424_NEV"	0.0280146
"2181"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_MSB_12905564_NM"	0.0280146
"1042"	"Setophaga_graciae_UWBM_112576_GUE"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0279572
"1822"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_112576_GUE"	0.0279572
"386"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_106760_NM"	0.0277262
"750"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_MSB_12905564_NM"	0.0277262
"494"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_111891_NM"	0.027698
"858"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_MSB_12905566_NM"	0.027698
"384"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_105736_ARI"	0.0275294
"644"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_MSB_12905564_NM"	0.0275294
"387"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_108714_NEV"	0.0265377
"803"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_MSB_12905564_NM"	0.0265377
"490"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_105736_ARI"	0.0265342
"646"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_MSB_12905566_NM"	0.0265342
"114"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_MSB_12905564_NM"	0.0262785
"374"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_DMNS_52524_COL"	0.0262785
"492"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_106760_NM"	0.026104
"752"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_MSB_12905566_NM"	0.026104
"491"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_106758_NM"	0.0259688
"699"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_MSB_12905566_NM"	0.0259688
"405"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114088_CHIH"	0.0259497
"1757"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_MSB_12905564_NM"	0.0259497
"411"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0259474
"2075"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_MSB_12905564_NM"	0.0259474
"1095"	"Setophaga_graciae_UWBM_112587_GUE"	"Setophaga_graciae_UWBM_114089_CHIH"	0.02583
"1823"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_112587_GUE"	0.02583
"418"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_84639_ARI"	0.0256161
"2446"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_MSB_12905564_NM"	0.0256161
"116"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_MSB_12905566_NM"	0.0255849
"480"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_DMNS_52524_COL"	0.0255849
"416"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_77653_ARI"	0.0255052
"2340"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_MSB_12905564_NM"	0.0255052
"398"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114012_DUR"	0.0254271
"1386"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_MSB_12905564_NM"	0.0254271
"519"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_114424_NEV"	0.0253861
"2183"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_MSB_12905566_NM"	0.0253861
"894"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_77735_ARI"	0.0252459
"2402"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_UWBM_111891_NM"	0.0252459
"403"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114047_DUR"	0.0251544
"1651"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_MSB_12905564_NM"	0.0251544
"400"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114038_DUR"	0.0251254
"1492"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_MSB_12905564_NM"	0.0251254
"459"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0250098
"1811"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_MSB_12905565_NM"	0.0250098
"389"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_111896_NM"	0.0249509
"909"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_MSB_12905564_NM"	0.0249509
"522"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_77653_ARI"	0.0249209
"2342"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_MSB_12905566_NM"	0.0249209
"517"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0248831
"2077"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_MSB_12905566_NM"	0.0248831
"493"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_108714_NEV"	0.0248722
"805"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_MSB_12905566_NM"	0.0248722
"424"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_95850_ARI"	0.0248708
"2764"	"Setophaga_graciae_UWBM_95850_ARI"	"Setophaga_graciae_MSB_12905564_NM"	0.0248708
"409"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0248478
"1969"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_MSB_12905564_NM"	0.0248478
"404"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114087_CHIH"	0.0248266
"1704"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_MSB_12905564_NM"	0.0248266
"401"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114039_DUR"	0.0247599
"1545"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_MSB_12905564_NM"	0.0247599
"402"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114046_DUR"	0.0247442
"1598"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_MSB_12905564_NM"	0.0247442
"410"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0245766
"2022"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_MSB_12905564_NM"	0.0245766
"511"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_114088_CHIH"	0.0245342
"1759"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_MSB_12905566_NM"	0.0245342
"866"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_111896_NM"	0.0243696
"918"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_UWBM_111891_NM"	0.0243696
"495"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_111896_NM"	0.0243477
"911"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_MSB_12905566_NM"	0.0243477
"509"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_114047_DUR"	0.0242892
"1653"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_MSB_12905566_NM"	0.0242892
"530"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_95850_ARI"	0.0241427
"2766"	"Setophaga_graciae_UWBM_95850_ARI"	"Setophaga_graciae_MSB_12905566_NM"	0.0241427
"399"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114019_DUR"	0.0241371
"1439"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_MSB_12905564_NM"	0.0241371
"508"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_114046_DUR"	0.0240276
"1600"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_MSB_12905566_NM"	0.0240276
"524"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_84639_ARI"	0.0238338
"2448"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_MSB_12905566_NM"	0.0238338
"759"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_UWBM_111891_NM"	0.0237945
"863"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_106760_NM"	0.0237945
"507"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_114039_DUR"	0.0237127
"1547"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_MSB_12905566_NM"	0.0237127
"396"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_113970_DUR"	0.0236323
"1280"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_MSB_12905564_NM"	0.0236323
"510"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_114087_CHIH"	0.0236195
"1706"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_MSB_12905566_NM"	0.0236195
"506"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_114038_DUR"	0.0236022
"1494"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_MSB_12905566_NM"	0.0236022
