VCF	Setophaga_graciae_CM_S10255_BEL_total_sites	Setophaga_graciae_CM_S9116_BEL_total_sites	Setophaga_graciae_DMNS_52524_COL_total_sites	Setophaga_graciae_KU_33633_RACN_total_sites	Setophaga_graciae_KU_33634_RACN_total_sites	Setophaga_graciae_KU_8199_SANA_total_sites	Setophaga_graciae_KU_8218_SANA_total_sites	Setophaga_graciae_UWBM_105736_ARI_total_sites	Setophaga_graciae_UWBM_106758_NM_total_sites	Setophaga_graciae_UWBM_106760_NM_total_sites	Setophaga_graciae_UWBM_108714_NEV_total_sites	Setophaga_graciae_UWBM_111891_NM_total_sites	Setophaga_graciae_UWBM_111896_NM_total_sites	Setophaga_graciae_UWBM_112575_GUE_total_sites	Setophaga_graciae_UWBM_112576_GUE_total_sites	Setophaga_graciae_UWBM_112587_GUE_total_sites	Setophaga_graciae_UWBM_112592_GUE_total_sites	Setophaga_graciae_UWBM_113059_CHI_total_sites	Setophaga_graciae_UWBM_113126_CHI_total_sites	Setophaga_graciae_UWBM_113970_DUR_total_sites	Setophaga_graciae_UWBM_114011_DUR_total_sites	Setophaga_graciae_UWBM_114012_DUR_total_sites	Setophaga_graciae_UWBM_114019_DUR_total_sites	Setophaga_graciae_UWBM_114038_DUR_total_sites	Setophaga_graciae_UWBM_114039_DUR_total_sites	Setophaga_graciae_UWBM_114046_DUR_total_sites	Setophaga_graciae_UWBM_114047_DUR_total_sites	Setophaga_graciae_UWBM_114087_CHIH_total_sites	Setophaga_graciae_UWBM_114088_CHIH_total_sites	Setophaga_graciae_UWBM_114090_CHIH_total_sites	Setophaga_graciae_UWBM_114091_CHIH_total_sites	Setophaga_graciae_UWBM_114126_CHIH_total_sites	Setophaga_graciae_UWBM_114127_CHIH_total_sites	Setophaga_graciae_UWBM_114128_CHIH_total_sites	Setophaga_graciae_UWBM_114282_NEV_total_sites	Setophaga_graciae_UWBM_114424_NEV_total_sites	Setophaga_graciae_UWBM_115308_GUE_total_sites	Setophaga_graciae_UWBM_69981_PCA_total_sites	Setophaga_graciae_UWBM_77653_ARI_total_sites	Setophaga_graciae_UWBM_77735_ARI_total_sites	Setophaga_graciae_UWBM_84639_ARI_total_sites	Setophaga_graciae_UWBM_93801_CPN_total_sites	Setophaga_graciae_UWBM_93805_CPN_total_sites	Setophaga_graciae_UWBM_93806_CPN_total_sites	Setophaga_graciae_UWBM_93807_CPN_total_sites	Setophaga_graciae_UWBM_93808_CPN_total_sites	Setophaga_graciae_UWBM_95850_ARI_total_sites	Setophaga_graciae_CM_S10255_BEL_het_sites	Setophaga_graciae_CM_S9116_BEL_het_sites	Setophaga_graciae_DMNS_52524_COL_het_sites	Setophaga_graciae_KU_33633_RACN_het_sites	Setophaga_graciae_KU_33634_RACN_het_sites	Setophaga_graciae_KU_8199_SANA_het_sites	Setophaga_graciae_KU_8218_SANA_het_sites	Setophaga_graciae_UWBM_105736_ARI_het_sites	Setophaga_graciae_UWBM_106758_NM_het_sites	Setophaga_graciae_UWBM_106760_NM_het_sites	Setophaga_graciae_UWBM_108714_NEV_het_sites	Setophaga_graciae_UWBM_111891_NM_het_sites	Setophaga_graciae_UWBM_111896_NM_het_sites	Setophaga_graciae_UWBM_112575_GUE_het_sites	Setophaga_graciae_UWBM_112576_GUE_het_sites	Setophaga_graciae_UWBM_112587_GUE_het_sites	Setophaga_graciae_UWBM_112592_GUE_het_sites	Setophaga_graciae_UWBM_113059_CHI_het_sites	Setophaga_graciae_UWBM_113126_CHI_het_sites	Setophaga_graciae_UWBM_113970_DUR_het_sites	Setophaga_graciae_UWBM_114011_DUR_het_sites	Setophaga_graciae_UWBM_114012_DUR_het_sites	Setophaga_graciae_UWBM_114019_DUR_het_sites	Setophaga_graciae_UWBM_114038_DUR_het_sites	Setophaga_graciae_UWBM_114039_DUR_het_sites	Setophaga_graciae_UWBM_114046_DUR_het_sites	Setophaga_graciae_UWBM_114047_DUR_het_sites	Setophaga_graciae_UWBM_114087_CHIH_het_sites	Setophaga_graciae_UWBM_114088_CHIH_het_sites	Setophaga_graciae_UWBM_114090_CHIH_het_sites	Setophaga_graciae_UWBM_114091_CHIH_het_sites	Setophaga_graciae_UWBM_114126_CHIH_het_sites	Setophaga_graciae_UWBM_114127_CHIH_het_sites	Setophaga_graciae_UWBM_114128_CHIH_het_sites	Setophaga_graciae_UWBM_114282_NEV_het_sites	Setophaga_graciae_UWBM_114424_NEV_het_sites	Setophaga_graciae_UWBM_115308_GUE_het_sites	Setophaga_graciae_UWBM_69981_PCA_het_sites	Setophaga_graciae_UWBM_77653_ARI_het_sites	Setophaga_graciae_UWBM_77735_ARI_het_sites	Setophaga_graciae_UWBM_84639_ARI_het_sites	Setophaga_graciae_UWBM_93801_CPN_het_sites	Setophaga_graciae_UWBM_93805_CPN_het_sites	Setophaga_graciae_UWBM_93806_CPN_het_sites	Setophaga_graciae_UWBM_93807_CPN_het_sites	Setophaga_graciae_UWBM_93808_CPN_het_sites	Setophaga_graciae_UWBM_95850_ARI_het_sites
CM027509.1__e.g.vcf.dataset4.vcf.simple.vcf	874951	400976	7145737	7359647	7018771	7010890	4838112	7199963	6667590	7455101	7440781	7475120	6756007	6646089	7300572	3981678	6588320	7175435	5269256	6633787	6998245	6447204	7396863	6999428	7150577	7122765	7072859	6784741	6705881	6089966	6703124	6913895	7398673	6863962	7001657	7274063	7066059	7293064	7257561	5704600	7243861	7086559	6516475	6736543	5672446	7085061	7362023	4149	1606	34086	25260	25908	29586	21921	34166	31119	35617	36469	34896	32575	33389	34510	17729	32591	30286	23881	32601	36196	33251	36108	35259	35726	35510	33779	33600	32067	29906	30881	34998	37224	34513	33817	36362	34407	27533	35039	27990	36733	31920	27315	30554	24107	31623	36448
CM027509.1__f.g.vcf.dataset4.vcf.simple.vcf	498207	241821	4130564	4244710	4069258	4025555	2736101	4140070	3862931	4291430	4284160	4302361	3863324	3867660	4194998	2224641	3773960	4141620	3074076	3819025	4057608	3741872	4262187	4067201	4115863	4114314	4119214	3933400	3869186	3437210	3894246	3999866	4254437	3926854	4035487	4168279	4095271	4203089	4176486	3332253	4181374	4063600	3786328	3860137	3295365	4121461	4251651	2198	885	18240	14032	14128	15812	10625	18568	15000	18314	19194	19143	16681	16494	18578	8611	16640	16335	12438	16541	17825	16889	19401	18003	17435	18343	17820	17378	17114	14568	16504	17506	19206	17068	17461	17941	17952	14929	18653	14681	19208	17362	15760	16245	13362	17121	18752
CM027509.1b__a.g.vcf.dataset4.vcf.simple.vcf	833334	362418	7099040	7305456	6951588	6953973	4805180	7149209	6589883	7407626	7389559	7428086	6697923	6566190	7271551	3992279	6555467	7132267	5221212	6553649	6953809	6394637	7348346	6949042	7095894	7073584	7042082	6740292	6633097	6039438	6669056	6852140	7352618	6823805	6945468	7221456	7009843	7251201	7203086	5644167	7193047	7040134	6470009	6671103	5607570	7050768	7318274	3081	1245	31982	25100	23827	27699	19064	32725	27602	33559	33746	34094	29747	29707	31508	15819	28758	30972	21107	28595	31777	30139	33721	30994	32315	31759	31257	30423	29541	26319	28494	30645	32423	29926	30148	33106	30458	23127	31917	24410	32240	27799	25358	26848	21575	27932	33135
CM027509.1b__b.g.vcf.dataset4.vcf.simple.vcf	851545	391365	7069004	7267253	6917551	6925135	4901718	7119967	6591314	7371800	7356957	7393937	6721599	6549107	7239939	3934862	6510280	7101701	5226055	6548509	6900093	6399675	7308591	6916693	7070216	7065445	6978879	6694897	6620224	6028061	6635732	6799824	7315445	6804968	6905841	7201214	6964865	7220327	7167883	5641125	7155277	7025339	6423574	6626477	5608378	7010096	7287758	3625	1601	36572	24196	22863	32146	21798	35937	32337	37453	36982	37631	33838	33437	35836	17664	32938	32831	24298	33837	35729	33713	36419	34949	35607	35867	35719	34499	32461	30179	32174	35759	38473	34479	34768	36885	33973	26994	35721	28715	36718	32860	28436	29683	24954	32478	37485
CM027509.1b__c.g.vcf.dataset4.vcf.simple.vcf	761242	329761	6598681	6795491	6444116	6481979	4500211	6662604	6098246	6895380	6883289	6919633	6224200	6034900	6785125	3751674	6079715	6615760	4863444	6088329	6435961	5886440	6830912	6404913	6611819	6574127	6479301	6194472	6154921	5615017	6192758	6302581	6845599	6334202	6433739	6740921	6481880	6748157	6710325	5245399	6681234	6570562	5921416	6195068	5220450	6520154	6803363	3987	1978	41513	32535	30000	37735	25724	41523	35749	43598	43307	43203	38544	35998	40180	19965	37850	38382	26884	36751	40387	36964	42073	39984	42008	41309	39642	39655	37997	34548	37872	39613	43203	38869	40521	43203	39081	29210	41177	31752	42930	37658	32879	35528	28519	36359	43571
CM027509.1b__d.g.vcf.dataset4.vcf.simple.vcf	844029	382217	7108328	7318272	6963072	6959988	4824852	7162356	6610991	7419022	7398600	7438632	6670440	6590116	7271911	4009003	6527944	7129593	5251030	6566535	6974425	6438104	7360991	6949248	7113774	7073252	7056873	6747121	6664593	6010423	6705373	6841089	7358388	6814997	6935276	7227093	7026422	7245027	7216144	5701920	7198763	7056427	6508806	6680050	5635306	7061968	7326990	3656	1684	34289	28361	26019	30436	20056	34461	30546	34574	35887	35170	31990	31045	34173	13670	30886	34216	23315	31389	34287	32457	35713	33917	34944	34331	33895	33449	31663	29110	29150	32504	35290	32304	30688	34346	33248	26628	33939	26975	34692	31360	29071	30542	23887	29517	36000
CM027509.1b__e.g.vcf.dataset4.vcf.simple.vcf	709353	294552	6452132	6639443	6301081	6327189	4390160	6523650	5929255	6736939	6726214	6762115	6069911	5847462	6633763	3765657	5922277	6462274	4747440	5860240	6274736	5715833	6670892	6232996	6462060	6418258	6325408	6018331	6005402	5433766	6086253	6133925	6686860	6234252	6277586	6590025	6305135	6606786	6569846	5146925	6505196	6403252	5741914	6012579	5066450	6341809	6646954	3233	1525	33765	26724	20650	30971	21425	34054	27802	34925	36164	35705	31344	28962	34957	17821	31458	30360	23682	30252	33478	30932	34658	32491	33985	33977	32357	31625	30589	28037	30462	32478	36247	33458	32475	36253	32006	26760	30501	26490	34558	30965	27746	28609	22961	30662	34632
CM027509.1b__f.g.vcf.dataset4.vcf.simple.vcf	454846	193610	3625507	3719875	3454397	3576322	2694648	3673116	3425946	3812777	3803646	3820640	3553368	3424235	3756501	2146996	3395454	3674681	2698027	3413628	3546759	3307929	3782047	3573586	3628347	3647313	3596337	3463966	3432073	3248116	3411802	3498075	3770479	3548337	3550225	3744407	3616691	3745229	3682096	2796631	3708803	3652925	3330677	3409485	2915823	3606781	3755623	2486	1229	20565	17544	15957	19635	14995	21306	18856	21428	22619	22416	21488	20424	23045	10998	19057	20103	13911	19812	20946	19782	21742	20093	21362	20803	20580	19983	19930	18901	19125	20791	22079	19964	20688	18374	21384	18319	20833	15998	22348	19587	17213	18650	15819	18513	22103
CM027510.1__a.g.vcf.dataset4.vcf.simple.vcf	772898	357440	6003259	6144665	5768496	5890953	4452739	6048249	5704202	6284693	6269238	6299422	5763468	5734584	6172599	3406699	5573174	6085250	4488402	5654390	5892231	5539074	6239788	5940074	5984196	6017612	5947089	5756912	5681198	5242710	5670812	5830865	6219076	5748288	5892524	6142433	5992423	6163662	6085601	4609632	6130859	5990968	5578664	5631905	4893336	5969666	6206462	4641	2245	37908	29377	28769	34027	27131	39583	35179	39815	39932	40340	36398	36901	40020	20809	35090	35851	27315	36126	38292	35861	40174	37515	39352	39020	37108	37455	35348	33654	34459	38068	39420	36242	37972	41021	37663	29472	38953	28067	39185	35197	33030	33050	28142	35053	40759
CM027510.1__b.g.vcf.dataset4.vcf.simple.vcf	792638	340378	6898187	7095656	6736679	6772454	4637371	6951969	6345902	7192392	7179156	7215509	6436194	6333253	7070361	3916722	6346088	6912785	5088486	6345161	6727405	6200477	7129744	6715346	6885029	6857652	6782205	6501941	6439836	5812184	6494926	6601116	7142025	6616951	6722814	7024807	6762975	7035878	7010077	5462765	6962060	6839544	6235596	6447527	5460207	6824298	7100697	3690	1411	34657	23775	25890	32552	22770	35079	32288	36957	36765	38209	32975	32554	36801	17970	32744	33877	24625	33562	35330	32475	37260	33771	35920	35160	34281	33104	32831	27491	32817	33638	36761	34738	12737	36850	34978	28460	36171	28242	36370	32588	28743	29485	25154	32055	35841
CM027510.1__c.g.vcf.dataset4.vcf.simple.vcf	784754	359645	6838208	7033659	6725936	6685668	4417141	6875301	6318104	7112968	7097620	7135348	6276458	6311459	6972842	3682757	6258279	6838924	5062856	6288174	6704136	6132666	7062048	6673777	6832148	6783952	6779198	6467430	6387278	5634881	6433635	6559323	7065258	6486560	6654321	6924682	6714742	6955709	6943193	5511709	6894118	6740596	6211605	6349133	5454954	6775183	7031221	3303	1557	32265	25608	26482	30335	19334	33266	29905	33779	32653	33884	29154	28523	31949	15818	29088	30124	21755	29948	31667	29488	32990	30912	32338	32531	30277	31923	29462	26507	29897	31601	32736	29932	31875	32893	30022	25826	32470	25780	33024	30309	25893	28830	23649	29622	32918
CM027510.1__d.g.vcf.dataset4.vcf.simple.vcf	709614	307661	6582389	6784921	6484476	6452360	4233569	6628621	6029648	6855643	6847549	6882964	6037723	6027965	6725054	3595478	6008726	6590750	4865854	6013591	6431442	5872236	6801535	6376631	6588580	6517039	6488025	6183321	6104218	5451893	6187842	6296531	6814439	6284385	6399805	6683963	6425090	6700242	6692745	5298100	6625582	6494435	5898422	6133361	5223093	6494178	6767448	3485	1484	36061	29843	28094	33680	20591	37358	33099	39508	39321	39018	34070	33416	37019	17552	33200	34856	23999	33315	36092	34072	37607	36150	37982	37024	36254	34948	34527	30315	34719	36180	38800	34858	34209	38045	35955	29336	36925	31494	37267	32643	30480	32250	27436	33514	39181
CM027510.1__e.g.vcf.dataset4.vcf.simple.vcf	904107	409602	7263804	7469408	7135133	7140032	4899350	7317742	6772612	7576594	7558359	7595289	6854226	6784556	7432625	4047171	6708087	7310362	5417606	6768534	7121053	6566459	7521043	7140716	7270571	7247164	7206733	6909405	6805675	6161299	6834916	7010405	7522672	6953313	7113410	7390037	7177142	7406985	7378029	5839913	7362145	7215552	6640751	6833427	5832805	7212036	7482744	3508	1585	29243	22409	25890	30461	21120	29645	25274	31264	29697	30087	25148	30486	29242	7886	27829	29348	20003	26653	28975	26854	30173	27531	33115	33146	28895	28168	25812	23857	26548	27775	29255	27557	27803	30268	28309	20992	28915	23157	30076	32601	23860	29955	25050	27133	34772
CM027510.1__f.g.vcf.dataset4.vcf.simple.vcf	870244	384517	7115157	7335322	6959421	7000451	5025235	7191758	6618811	7446020	7424928	7467232	6836961	6611883	7340670	4104518	6615076	7160899	5237660	6637353	6981771	6395283	7383737	6953349	7134324	7117802	7020409	6741230	6664584	6174995	6687350	6849058	7384908	6892659	6954817	7281595	7013870	7298905	7234691	5585332	7214307	7114627	6457448	6737648	5660566	7065918	7346334	3693	1510	34029	27826	23830	30599	21814	36053	30185	35988	35039	36649	33804	31792	36592	18372	32467	33131	24013	31658	35250	32816	36333	33736	35939	34704	34006	33795	32084	29041	31807	34692	36874	34419	33241	35691	29946	26701	34463	27443	34786	31701	27828	30744	25085	30995	37296
CM027510.1__g.g.vcf.dataset4.vcf.simple.vcf	911867	406383	6645700	6855667	6539845	6547062	4786232	6703756	6284395	6954009	6935644	6970699	6396524	6296539	6846724	3797232	6156822	6714489	4993627	6222846	6562147	6142019	6907196	6575771	6654997	6654954	6619369	6378595	6277673	5769544	6293916	6458684	6894085	6403515	6524500	6791793	6616955	6815691	6760641	5181973	6776433	6631133	6155903	6264398	5409118	6642617	6874265	5716	2764	38134	31140	27996	34198	25596	38763	34514	39798	38388	41334	35858	33723	39353	20484	35974	35543	27463	35428	39388	40208	40563	37482	38797	37029	37077	36693	35262	32496	35274	36432	39854	36489	37192	39060	36600	31036	37830	30132	38508	35070	32962	32021	28359	35517	39559
CM027510.1__h.g.vcf.dataset4.vcf.simple.vcf	65862	28594	525369	538454	489273	524799	396584	537416	485536	556806	554966	558398	516527	479480	549838	334944	495474	532900	389451	484391	507755	470778	549259	507148	532365	531747	514184	489169	494453	469696	497474	505925	550511	526133	511794	547688	516234	549155	539287	418800	537211	530730	468093	495491	418044	514947	547176	502	185	1880	1860	2099	1945	2025	1867	1536	1638	1519	1542	1709	1111	1922	1143	1627	1660	1688	1547	2075	1678	1897	1721	2082	1879	1796	1705	1965	1676	1618	1551	1844	1557	1368	1759	1947	1878	1696	1191	1932	2075	1726	1781	1190	2136	2182
CM027511.1__a.g.vcf.dataset4.vcf.simple.vcf	885400	406237	6602574	6802988	6482141	6497966	4652970	6663753	6262079	6914923	6893160	6929344	6279054	6247620	6768668	3629711	6130351	6678919	4963954	6201201	6517089	6107805	6866126	6528016	6612964	6618851	6581746	6343689	6217144	5661524	6245846	6409436	6847768	6335084	6480003	6750547	6563408	6767379	6707015	5154436	6728979	6573378	6116642	6220348	5377094	6579484	6831313	5741	2503	42870	34676	29317	40299	28973	43078	38803	45361	45926	45561	34509	39913	44517	22191	40310	41409	30589	40784	43701	40470	44601	41142	42825	43761	41926	41764	39715	37352	39456	42204	45050	41696	43359	44518	38377	34278	42680	33120	44868	40300	35041	38233	31919	39025	43928
CM027511.1__b.g.vcf.dataset4.vcf.simple.vcf	1013517	472220	7667114	7858729	7571864	7471076	5270964	7656748	7292825	7938450	7920130	7951019	7225611	7324224	7774094	4056287	7004987	7692849	5803555	7214823	7566510	7116553	7899968	7606429	7621314	7644920	7654384	7396677	7245318	6489142	7265094	7472126	7876948	7247033	7522922	7724783	7624270	7776868	7738856	6083998	7769031	7561007	7183629	7163509	6327389	7642952	7868707	4252	2054	34112	26513	21124	29680	21140	34599	30950	35054	34785	35112	31644	32683	34191	16450	31319	33495	23728	31489	33684	32251	35077	33598	34149	33697	33327	32953	31978	28286	30646	32849	36287	31427	32922	34867	33213	27268	31654	27531	33852	28715	29382	30078	25664	30059	34922
CM027511.1__c.g.vcf.dataset4.vcf.simple.vcf	927354	410795	7357057	7556667	7232985	7195436	4994448	7385620	6896896	7645431	7627820	7663180	6905109	6899267	7506012	4129920	6765130	7380902	5469654	6815739	7230057	6721155	7602693	7246132	7337718	7321369	7326195	7028972	6914192	6195601	6956775	7107259	7591676	6996443	7191998	7447520	7289400	7487135	7455233	5874396	7452652	7277100	6770886	6889518	5934763	7318235	7563857	3637	1851	30259	21011	23458	25974	18844	31258	26607	31667	28018	31805	28748	28641	31643	16228	28276	29045	19685	28605	29580	29826	31660	30972	29011	30267	30343	28685	28613	26379	27144	29460	32418	29288	29943	31786	30162	24851	31776	24884	31881	26501	23241	25765	22873	27067	33142
CM027511.1__d.g.vcf.dataset4.vcf.simple.vcf	882680	401326	7311927	7500373	7193441	7132592	4735229	7320187	6855737	7574663	7557260	7591890	6729491	6839902	7402025	3926370	6654118	7309858	5449059	6735047	7185514	6651638	7531868	7189941	7279882	7253848	7284059	6954546	6848024	6002268	6928729	7064610	7519524	6891497	7126915	7358764	7222961	7407734	7399693	5891935	7369810	7166836	6716459	6799794	5892777	7266893	7495060	3440	1458	31342	23868	22773	28722	17953	32223	27253	33911	32656	32589	28240	28528	29875	14796	28081	28729	19575	29808	31152	29487	32563	30701	30320	31935	31266	30808	28150	25674	28927	31800	33376	29135	27719	32404	30208	23280	31389	25277	31484	27953	26375	27213	22569	28561	32752
CM027511.1__e.g.vcf.dataset4.vcf.simple.vcf	871278	374482	7200809	7396767	7040078	7049419	4891752	7240137	6685924	7496056	7483392	7517525	6743040	6678586	7344520	4027218	6626071	7227950	5341076	6675308	7045934	6529569	7445947	7044085	7198618	7167406	7097672	6827766	6728567	6071279	6791858	6933173	7447821	6880278	7011266	7310419	7105754	7337165	7311930	5745425	7282670	7127799	6557095	6751236	5752962	7129449	7405552	4008	1520	35783	24367	24780	31259	21309	36006	31438	31246	36331	36743	32981	31949	35697	16808	31730	33478	23584	32408	34147	32633	36023	29252	34532	33970	33494	28206	31875	28878	31851	34400	36438	32802	34824	36439	33412	27388	35444	28065	36363	30968	28754	27051	25772	31652	36078
CM027511.1__f.g.vcf.dataset4.vcf.simple.vcf	924754	441048	7046847	7249746	6863080	6921360	5148123	7091957	6763694	7369952	7345102	7380558	6802829	6739591	7235166	3933114	6524781	7135193	5269700	6678996	6945840	6547422	7320241	7009204	7039215	7082673	7022193	6798689	6681937	6166693	6684793	6866352	7287546	6774520	6952275	7197407	7048901	7224134	7148609	5426202	7205170	7028489	6575114	6641314	5770589	7038100	7288792	4978	2255	40591	31718	29819	34979	26973	40881	38273	42585	42810	42345	40066	37408	41199	20958	37118	38348	27766	37686	40391	37686	41899	40981	40835	41059	40066	38587	37834	35888	37103	39832	43186	38482	39992	42910	40521	32159	40935	30233	42986	36583	33790	34615	30692	36235	43512
CM027511.1__g.g.vcf.dataset4.vcf.simple.vcf	91161	39318	619069	611321	527583	611620	536290	623997	596739	655488	652435	657439	629770	602781	649216	414628	590741	638258	460453	595963	603159	580098	648566	613363	612982	625585	607516	595777	588659	584812	583875	598765	644248	601011	609720	646948	625049	644769	625907	436271	641135	628818	578555	585560	517620	614940	644783	668	319	5113	4239	3489	5143	4400	5406	4789	5552	5800	5478	5195	5163	5575	3261	4856	5294	3885	5074	5179	4799	5488	5027	5227	5332	4546	4871	4959	4901	4631	4475	5589	5148	4928	5300	5147	5007	5109	3394	5450	4606	4611	4565	4004	5469	5461
CM027512.1__a.g.vcf.dataset4.vcf.simple.vcf	859419	395855	6615131	6787007	6402052	6488464	4836019	6655461	6222939	6916974	6895632	6933606	6335016	6302735	6787665	3769716	6134609	6693505	4951859	6221395	6517759	6088617	6868247	6531817	6600905	6605969	6556274	6368837	6229597	5761780	6247343	6435704	6844894	6319893	6497445	6739770	6599637	6774341	6704948	5031313	6681778	6598438	6138758	6229849	5395848	6615040	6829234	6100	2812	44120	33790	35570	43852	33998	48515	44745	51068	51074	51216	47429	46536	49488	24775	44431	48995	35075	46377	48085	46284	50928	48200	48991	48539	47184	47107	44791	42041	44257	48116	51411	46023	47783	49912	48657	39117	48532	35218	50838	46748	41507	40564	36884	45876	51539
CM027512.1__b.g.vcf.dataset4.vcf.simple.vcf	963674	441501	7681337	7867910	7563353	7483350	5080044	7671914	7199585	7944450	7927715	7960792	7075264	7233223	7778942	4099321	7013411	7692827	5725231	7122049	7546900	6992308	7904189	7570377	7628934	7606311	7619602	7333452	7197528	6398917	7261263	7439738	7877814	7245375	7500852	7717991	7603464	7765941	7753501	6093392	7740698	7532706	7086886	7157527	6198942	7635617	7872838	3100	1533	27945	20225	21080	26075	17179	27933	26022	29122	29475	29993	25909	27942	27867	14140	25431	26944	18664	26490	28759	27137	29890	28603	29318	28363	28969	28485	26528	24267	26660	27903	29913	26458	28938	29342	26904	24232	28990	22754	28130	26081	24552	24335	20798	26902	29874
CM027512.1__c.g.vcf.dataset4.vcf.simple.vcf	988320	452706	7534968	7741680	7412597	7382311	5330631	7568982	7148650	7833863	7813908	7848236	7121948	7132543	7685296	4175687	6954037	7593149	5660806	7091250	7413563	6917698	7785711	7444767	7513752	7525832	7479377	7225901	7120514	6440004	7156916	7330236	7768203	7172530	7397776	7639517	7480687	7676126	7640393	5997807	7636756	7471102	6988070	7071203	6156038	7489316	7753061	3397	1518	31706	23893	24725	28353	21265	32419	26200	32725	32883	33151	29660	28506	32428	16065	29108	30998	22048	30008	30948	29977	33044	30944	32921	31230	31601	30829	28609	27131	29068	30461	33713	29354	31473	32468	30368	25284	32081	24952	32833	29319	26437	26737	23542	29063	33210
CM027512.1__d.g.vcf.dataset4.vcf.simple.vcf	440366	204277	3459815	3565557	3327981	3409942	2708802	3510026	3321117	3649475	3633852	3657498	3424359	3292019	3595780	2165084	3235797	3528653	2577880	3263203	3388352	3182381	3619924	3434079	3457426	3493089	3423133	3317372	3283839	3099784	3281282	3349729	3604620	3360758	3411495	3574095	3472846	3571526	3519162	2588808	3559242	3486348	3190561	3272765	2795933	3447633	3592648	2679	1200	23599	19168	19003	21774	16594	24374	22378	25002	25495	26018	23606	22721	23508	13771	22576	22940	17315	22743	23353	22410	25740	23308	24454	23239	23273	23136	21927	21636	21872	23190	24860	22982	23583	25132	16875	19817	24288	16917	25040	22165	20318	20749	17181	21892	24779
CM027513.1__a.g.vcf.dataset4.vcf.simple.vcf	781892	349803	6364954	6543668	6144557	6262607	4701701	6428005	5975309	6672421	6654250	6689497	6191018	5974910	6573584	3751021	5906421	6439525	4741120	5958858	6258278	5811543	6623869	6267765	6363729	6378542	6300424	6086039	5996310	5587278	6008953	6142180	6606415	6179560	6230490	6535053	6319264	6546913	6471813	4982753	6487506	6368879	5832888	5988933	5119075	6322688	6584369	3515	1528	35096	26872	26368	30076	23275	36841	31272	37940	37768	37890	35526	32815	35905	18863	33235	34453	23976	33344	34855	33501	37970	35409	36028	35901	34689	33944	32842	31486	32042	35077	37271	34450	35613	35537	34150	30005	35344	26126	37116	32222	29613	30298	25982	32328	36919
CM027513.1__b.g.vcf.dataset4.vcf.simple.vcf	1008023	447913	7608156	7799985	7450309	7413457	5406956	7628618	7150276	7894582	7878783	7911196	7200387	7145067	7764316	4378051	7006725	7628032	5692278	7103179	7460471	6934439	7850396	7493491	7577407	7580505	7545564	7256971	7177460	6517119	7207851	7346605	7835694	7272670	7439569	7698223	7534353	7734659	7711549	6073955	7686274	7526707	6978635	7139866	6149970	7538398	7809807	2180	1015	23866	17465	17832	23111	13656	23801	21801	24587	24424	25006	22194	22271	24687	5843	22194	24149	15396	22017	23641	22827	24556	23857	23402	23509	22889	23434	21577	20558	22018	20470	25062	23262	22104	25558	22668	18879	24460	19278	22990	22028	19597	20830	17092	21975	25488
CM027513.1__c.g.vcf.dataset4.vcf.simple.vcf	977767	457940	7703670	7910032	7622330	7514893	5096872	7704019	7262580	7988196	7969055	8002754	7094810	7287377	7802522	4111099	7051654	7720550	5756458	7174023	7594853	7052322	7945782	7621547	7666024	7654733	7698314	7389366	7241610	6410857	7282466	7462369	7922347	7243671	7524396	7749694	7644989	7796653	7798102	6197758	7786672	7582293	7138603	7203394	6230517	7679959	7909295	3298	1486	30955	21168	23011	27610	19329	30845	24291	31844	32533	30800	29315	28979	30053	4432	26780	29781	21645	29227	30907	28944	31968	30859	30754	30167	31081	30574	28028	24950	28240	27982	32051	29220	29238	31402	28480	23535	30076	24600	32159	28414	25518	26817	22751	28713	29135
CM027513.1__d.g.vcf.dataset4.vcf.simple.vcf	714587	323368	5473739	5620929	5299014	5386885	4076126	5529735	5167467	5741619	5723585	5754231	5314402	5211592	5637920	3178517	5088511	5549158	4100856	5183579	5378408	5006265	5696974	5423606	5478068	5494239	5430106	5279834	5164898	4837815	5156774	5314408	5677925	5276986	5380125	5621210	5465380	5625011	5565628	4128468	5597024	5487404	5074624	5158785	4430247	5472181	5665327	4702	2586	38825	36622	28969	35330	30030	44046	34864	40436	37987	47143	36814	41827	36624	20205	35676	38176	27611	36653	38828	40441	45271	37229	43767	39052	38230	37830	35651	33397	35265	37855	40677	37050	37912	39758	38952	32149	38207	28093	40260	34846	37890	33653	33170	34902	39889
CM027514.1__a.g.vcf.dataset4.vcf.simple.vcf	955449	442506	6973181	7147757	6770660	6836231	5107983	7012387	6651777	7279905	7258886	7293585	6666456	6680639	7142032	3903530	6464385	7056715	5263722	6619705	6870101	6464161	7235066	6934104	6955163	6988844	6954447	6740371	6608869	6078707	6616667	6789070	7205614	6660018	6839775	7117940	6962009	7141656	7074557	5390957	7110777	6949198	6509299	6555702	5781680	6971105	7199354	5615	2845	41149	32844	29337	38300	29092	41709	38160	42260	43774	42122	39284	39846	42722	22565	38863	38758	28921	39610	41447	39744	42931	41780	42025	42315	41144	41371	38721	36364	39119	40367	43074	38609	39755	42567	40372	31742	41741	31785	42328	37179	34218	36381	32217	37309	41942
